RelationshipType,StartNode.NodeID,EndNode.NodeID,RelationshipStatus,RelationshipPeriods.RelationshipPeriod.1.PeriodType,RelationshipPeriods.RelationshipPeriod.1.StartDate,RelationshipPeriods.RelationshipPeriod.1.EndDate,RelationshipQualifiers.AccountingStandard,Registration.RegistrationStatus
IS_DIRECTLY_CONSOLIDATED_BY,WTK38LB231Z4PQXV4ZTC,26X4V8XHL18YFJAVQM63,ACTIVE,RELATIONSHIP_PERIOD,2024-08-08T00:00:00Z,2027-08-08T00:00:00Z,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,6G01RZBK6KT7MIIVDFTJ,D3SCH53XDXQ1VSB8RLSW,ACTIVE,RELATIONSHIP_PERIOD,2021-09-09T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,3ZK3AJMLTTFLPN1FPJ9X,B2UTCHWC8ZPLF8GIJ51R,ACTIVE,RELATIONSHIP_PERIOD,2022-10-10T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,4KWG49ZN4Y3PGYIUIZUS,3P73CEUXCJGY6FVT1ZBL,ACTIVE,RELATIONSHIP_PERIOD,2023-11-11T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,Z8EW5BOLPXXV6AZEOI5M,F1HMQT68PDX4N1RLR6CZ,ACTIVE,RELATIONSHIP_PERIOD,2024-12-12T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,NT1FVYL1JSTY4CQ0LKZ7,SRA0NB0IRR3UGOOBUOES,ACTIVE,RELATIONSHIP_PERIOD,2021-01-13T00:00:00Z,2026-01-13T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,3FWGZAKUI6Y3A5Z1DT1Q,0V8Y49AVVUW2J35N8KYQ,ACTIVE,RELATIONSHIP_PERIOD,2022-02-14T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,26X4V8XHL18YFJAVQM63,CF59WFN7XTSU23BJKW10,ACTIVE,RELATIONSHIP_PERIOD,2023-03-15T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,D3SCH53XDXQ1VSB8RLSW,S95PY8IYHGZNNHSLKZ90,ACTIVE,RELATIONSHIP_PERIOD,2024-04-16T00:00:00Z,,IFRS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,B2UTCHWC8ZPLF8GIJ51R,N0RUXGU688ZOZ53S2KLZ,ACTIVE,RELATIONSHIP_PERIOD,2021-05-17T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,3P73CEUXCJGY6FVT1ZBL,A8V3LGY000MBOI6F0BUP,ACTIVE,RELATIONSHIP_PERIOD,2022-06-18T00:00:00Z,2027-06-18T00:00:00Z,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,F1HMQT68PDX4N1RLR6CZ,4FXBY96MK3XPL4MUISEB,ACTIVE,RELATIONSHIP_PERIOD,2023-07-19T00:00:00Z,,PAS,PUBLISHED
IS_DIRECTLY_CONSOLIDATED_BY,SRA0NB0IRR3UGOOBUOES,33P2PL36HVKP3EAC074Y,ACTIVE,RELATIONSHIP_PERIOD,2024-08-20T00:00:00Z,,PAS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,0V8Y49AVVUW2J35N8KYQ,0Q8H8B24DSZCXZ621HGJ,ACTIVE,RELATIONSHIP_PERIOD,2021-09-21T00:00:00Z,,IFRS,PUBLISHED
IS_ULTIMATELY_CONSOLIDATED_BY,CF59WFN7XTSU23BJKW10,HKX0VJP4NQGVE35PQVS2,ACTIVE,RELATIONSHIP_PERIOD,2022-10-22T00:00:00Z,,PAS,PUBLISHED
